idx,pair_id,category,product,flag,cost_per_unit,waste_g_per_unit,note,tau_011,tau_030,tau_100
22,11,hand_soap,Method Foaming Hand Soap Refill Sea Minerals 28 fl oz,1,2.7821,12.5,refill ~35g; per bottle-fill,2.7835,2.7859,2.7946
23,12,body_wash,Aveeno Daily Moisturizing Body Wash with Soothing Oat 3,0,12.99,90,Aveeno 33oz pump ~90g; per bottle,12.9999,13.017,13.08
24,12,body_wash,Aveeno Daily Moisturizing Body Wash with Soothing Oat R,1,9.1651,27.5229,refill pouch ~30g; per bottle-equiv,9.1682,9.1734,9.1927
25,13,surface_cleaner,Clean Cult Fresh Basil Ready-to-Use All-Purpose Cleaner,0,4.99,90,CleanCult spray 16oz ~90g; per fill,4.9999,5.017,5.08
26,13,surface_cleaner,Clean Cult Fresh Basil All-Purpose Cleaner Refill 32 oz,1,3.995,15,CleanCult refill carton ~30g; per fill,3.9966,3.9995,4.01
27,14,surface_cleaner,Everspring Lemon & Mint All-Purpose Cleaner Spray 28 fl,0,3.39,100,Everspring spray 28oz ~100g; per fill,3.401,3.42,3.49
28,14,surface_cleaner,Everspring Lemon & Mint Ultra-Concentrated All-Purpose ,1,1.8725,11.25,ASSUME 1:3 dilution -> 4 fills (label-dependent; FLAGGED); per fill,1.8737,1.8759,1.8838
29,15,dish_soap,Dawn Powerwash Fresh Starter Kit 16 fl oz,0,4.94,95,Powerwash starter w/ sprayer ~95g; per 16oz,4.9504,4.9685,5.035
30,15,dish_soap,Dawn Powerwash Fresh Refill 16 fl oz,1,3.94,45,"Powerwash refill ~45g, sprayer reused; per 16oz",3.945,3.9535,3.985
31,16,deodorant,Wild Chrome Case Refillable Deodorant Starter Kit Juicy,0,16.99,15,"Wild starter: case durable (excluded), refill tube ~15g; per refill-cycle",16.9916,16.9945,17.005
32,16,deodorant,Wild Aluminum-Free Deodorant Refill Juicy Mango 1.4 oz,1,7.99,15,Wild refill tube ~15g; per refill-cycle,7.9916,7.9945,8.005
33,17,shampoo_body_wash,The Honest Company Sensitive Shampoo + Body Wash Fragra,0,16.99,75,Honest 18oz pump ~75g; per bottle,16.9982,17.0125,17.065
34,17,shampoo_body_wash,The Honest Company Sensitive Shampoo + Body Wash Refill,1,14.6011,19.6629,refill ~35g; per bottle-equiv,14.6033,14.607,14.6208
35,18,beverage,Sprite Lemon-Lime Soda 12 fl oz cans 12-pack,0,0.7408,26.8333,Sprite cans + carton; per 12oz serving,0.7438,0.7489,0.7677
36,18,beverage,Sprite Lemon-Lime Soda 20 fl oz single bottle,0,1.614,15.6,Sprite PET 20oz scaled to 12oz basis (special),1.6157,1.6187,1.6296
37,19,beverage,S.Pellegrino Sparkling Natural Mineral Water 11.15 fl o,0,0.9988,26.75,Pellegrino 11.15oz cans + 8pk carton; per serving,1.0017,1.0068,1.0255
38,19,beverage,S.Pellegrino Sparkling Natural Mineral Water 16.9 fl oz,0,1.2325,22.3333,Pellegrino PET 16.9oz ~19g + wrap; per serving,1.235,1.2392,1.2548
39,19,beverage,S.Pellegrino Sparkling Natural Mineral Water 16.9 fl oz,0,1.6488,312,Pellegrino glass 16.9oz ~300g + cap + carton; per serving,1.6831,1.7424,1.9608
40,20,surface_cleaner,Windex Original Blue Window and Glass Cleaner Spray 26 ,0,3.99,100,Windex spray (dup row 4); per fill,4.001,4.02,4.09
41,20,surface_cleaner,BLUELAND Multi-Surface Cleaner 10 Refill Tablets Fresh ,1,2.4,2,"Blueland 10 tablets, wrappers+carton ~20g; per fill",2.4002,2.4006,2.402
