pair_id,category,product_name,retailer,price_usd,net_contents_value,net_contents_unit,uses_per_package,packaging_format,refill_or_concentrate_flag,url,notes
5,razor,Gillette Mach3 Handle with 10 Blade Refills,Walmart,29.97,10,cartridges,up to 150 shaves,durable handle plus replaceable cartridges and carton,1,https://www.walmart.com/ip/Gillette-Mach3-Shaving-Razor-for-Men-1-Gillette-3-Blade-Razor-Handle-for-Men-s-Grooming-10-Razor-Blade-Refills-Razor-Blades-with-Lubrication-Strip/7483106556,"Accessed 2026-07-17. Full-package one-time price; manufacturer states up to 15 shaves per cartridge. Normalize by claimed shave before comparison."
6,hand_soap,Softsoap Crisp Clean Antibacterial Liquid Hand Soap Pump 11.25 fl oz,Walmart,2.97,11.25,fl_oz,1 pump bottle,PET pump bottle,0,https://www.walmart.com/ip/Softsoap-Antibacterial-Liquid-Hand-Soap-Crisp-Clean-11-25-Fluid-Ounce-Bottle/180160368,"Accessed 2026-07-17. Full-package one-time price."
6,hand_soap,Softsoap Crisp Clean Antibacterial Liquid Hand Soap Refill 50 fl oz,Walmart,5.97,50,fl_oz,4.44 pump-bottle fills,large plastic refill bottle with pour spout,1,https://www.walmart.com/ip/Softsoap-Antibacterial-Liquid-Hand-Soap-Refill-Crisp-Clean-50-Fluid-Ounce-Bottle/507822272,"Accessed 2026-07-17. Full-package one-time price; same scent/formula and 50/11.25 = 4.44 nominal fills."
7,dish_soap,Dawn Ultra Original Dishwashing Liquid 18 fl oz,Walmart,2.94,18,fl_oz,1 bottle,PET squeeze bottle,0,https://www.walmart.com/ip/Dawn-Ultra-Liquid-Dish-Soap-Dishwashing-Liquid-Grease-Removal-Original-18oz/1095568875,"Accessed 2026-07-17. Full-package one-time price."
7,dish_soap,Dawn Ultra Original Dishwashing Soap Refill Jug 67 fl oz,Walmart,9.94,67,fl_oz,3.72 bottle fills,large PET refill jug with cap,1,https://www.walmart.com/ip/Dawn-Ultra-Hand-Dishwashing-Liquid-Original-Regular/17465215134,"Accessed 2026-07-17. Full-package one-time price; same scent/formula and 67/18 = 3.72 nominal fills."
8,paper_towels,"Bounty Select-A-Size Paper Towels, 12 Double Rolls, 82 Sheets per Roll",Walmart,22.46,12,rolls,984 sheets,paper rolls with cardboard cores and plastic overwrap,0,https://www.walmart.com/ip/Bounty-Paper-Towels-Select-A-Size-White-12-Double-Rolls-82-Sheets-Per-Roll/14584700257,"Accessed 2026-07-17. Full-package one-time price; 12 x 82 = 984 sheets."
8,paper_towels,Wettex Original Swedish Dishcloths 10-pack,Amazon,9.74,10,cloths,multiple wash-and-reuse cycles,cellulose-cotton cloths with retail wrap,1,https://www.amazon.com/Original-10-Pack-Wettex-Superabsorbent-Dishcloth/dp/B07MX46M6H,"Accessed 2026-07-17. One-time full-package price shown in search result. Functional substitute rather than a like-for-like consumable; lifespan must be assumed separately."
9,water,Great Value Purified Drinking Water 16.9 fl oz bottles 24ct,Walmart,3.68,16.9,fl_oz,24 bottles,PET bottles with caps and shrink wrap,0,https://www.walmart.com/ip/Great-Value-Purified-Drinking-Water-16-9-fl-oz-24-Count/13448854,"Accessed 2026-07-17. Full-package one-time price; net contents are per bottle."
9,water,Brita Standard 10-Cup Tahoe Water Filter Pitcher with 1 Standard Filter,Walmart,28.33,40,gal_filter_capacity,~303 16.9-fl-oz bottle equivalents,durable plastic pitcher plus replaceable filter cartridge,1,https://www.walmart.com/ip/Brita-Large-10-Cup-White-Tahoe-Water-Filter-Pitcher-with-1-Standard-Filter-Made-Without-BPA/1726363166,"Accessed 2026-07-17. White variant price; listing showed prior price $31.48. Standard filter rated around 40 gal; first-purchase price includes the durable pitcher, so amortize before comparing with bottled water."
10,yogurt,Chobani Plain Nonfat Greek Yogurt single cup 5.3 oz,Target,1.39,5.3,oz,1 cup,PP cup with foil lid,0,https://www.target.com/p/chobani-plain-nonfat-greek-yogurt-5-3oz/-/A-23974732,"Accessed 2026-07-17. Full single-cup price; same plain nonfat formula as large tub."
10,yogurt,Chobani Plain Nonfat Greek Yogurt tub 32 oz,Target,5.99,32,oz,about 5 servings,PP tub with foil seal and plastic lid,1,https://www.target.com/p/chobani-plain-nonfat-greek-yogurt-32oz/-/A-13173299,"Accessed 2026-07-17. Full-package price; label reports about five 3/4-cup servings. Flag denotes larger lower-packaging-intensity format rather than a literal refill."
11,hand_soap,Method Foaming Hand Wash Sea Minerals 10 fl oz,Target,3.99,10,fl_oz,1 pump bottle,PET foaming-pump bottle,0,https://www.target.com/p/method-foaming-hand-wash-sea-minerals-10-fl-oz/-/A-52736077,"Accessed 2026-07-17. Full-package one-time price."
11,hand_soap,Method Foaming Hand Soap Refill Sea Minerals 28 fl oz,Target,7.79,28,fl_oz,2.8 pump-bottle fills,plastic refill bottle with cap,1,https://www.target.com/p/method-foaming-hand-soap-refill-sea-minerals-28-fl-oz/-/A-93146026,"Accessed 2026-07-17. Full-package one-time price; same scent/formula and listing states 2.8 bottle fills."
12,body_wash,Aveeno Daily Moisturizing Body Wash with Soothing Oat 33 fl oz,Target,12.99,33,fl_oz,1 pump bottle,PET pump bottle,0,https://www.target.com/p/aveeno-daily-moisturizing-body-wash-with-soothing-oat-33-fl-oz/-/A-52274194,"Accessed 2026-07-17. Full-package one-time price."
12,body_wash,Aveeno Daily Moisturizing Body Wash with Soothing Oat Refill 36 fl oz,Target,9.99,36,fl_oz,1.09 pump-bottle equivalents,flexible refill pouch with spout,1,https://www.target.com/p/aveeno-daily-moisturizing-body-wash-with-soothing-oat-refill-36-fl-oz/-/A-83278223,"Accessed 2026-07-17. Current listing price was $9.99 versus prior $12.49; same formula and 36/33 = 1.09 nominal fills. Treat markdown sensitivity separately."
13,surface_cleaner,Clean Cult Fresh Basil Ready-to-Use All-Purpose Cleaner 16 oz,Target,4.99,16,fl_oz,1 spray bottle,aluminum trigger-spray bottle,0,https://www.target.com/p/cleancult-aluminum-ready-to-use-all-purpose-cleaners-fresh-basil-16oz/-/A-1006602360,"Accessed 2026-07-17. Full-package one-time price; reusable aluminum bottle."
13,surface_cleaner,Clean Cult Fresh Basil All-Purpose Cleaner Refill 32 oz,Target,7.99,32,fl_oz,2 spray-bottle fills,paper-based composite carton with plastic closure,1,https://www.target.com/p/cleancult-fresh-basil-all-purpose-liquid-cleaner-refills-32oz/-/A-95018141,"Accessed 2026-07-17. Full-package one-time price; same scent/formula and 32/16 = 2 nominal fills."
14,surface_cleaner,Everspring Lemon & Mint All-Purpose Cleaner Spray 28 fl oz,Target,3.39,28,fl_oz,1 spray bottle,PET trigger bottle,0,https://www.target.com/p/lemon-38-mint-all-purpose-cleaner-28-fl-oz-everspring-8482/-/A-75663178,"Accessed 2026-07-17. Full-package one-time price; ready-to-use formula."
14,surface_cleaner,Everspring Lemon & Mint Ultra-Concentrated All-Purpose Cleaner 32 fl oz,Target,7.49,32,fl_oz,label-dependent yield,plastic concentrate bottle with cap,1,https://www.target.com/p/lemon-38-mint-ultra-concentrated-all-purpose-cleaner-32oz-everspring-8482/-/A-92750626,"Accessed 2026-07-17. Full-package one-time price; Target identifies product form as concentrate mixed with water. Use label dilution instructions before comparing cost or packaging per ready-to-use ounce."
15,dish_soap,Dawn Powerwash Fresh Starter Kit 16 fl oz,Walmart,4.94,16,fl_oz,1 starter bottle,PET bottle plus reusable trigger sprayer,0,https://www.walmart.com/ip/Dawn-Powerwash-Spray-Dish-Soap-Dishwashing-Liquid-Fresh-1-Starter-Kit-16-Fl-Oz/811213156,"Accessed 2026-07-17. Full-package one-time price; current listing also showed a higher prior price, so treat as a potentially temporary price point."
15,dish_soap,Dawn Powerwash Fresh Refill 16 fl oz,Walmart,3.94,16,fl_oz,1 sprayer-reuse cycle,snap-on plastic refill bottle,1,https://www.walmart.com/ip/Dawn-Powerwash-Spray-Refill-Dish-Soap-Dishwashing-Liquid-Fresh-1-Refill-16-Fl-Oz/901978154,"Accessed 2026-07-17. Full-package one-time price; same scent/formula and reuses starter sprayer."
16,deodorant,Wild Chrome Case Refillable Deodorant Starter Kit Juicy Mango,Target,16.99,1.4,oz,1 case plus 1 refill,durable metal case plus refill cartridge and carton,0,https://www.target.com/p/wild-cosmetics-chrome-case-natural-aluminum-free-deodorant-with-starter-kit-juicy-mango-5-29oz/-/A-94882440,"Accessed 2026-07-17. Full starter-kit price. Target title says 5.29 oz for the kit; active refill cartridge is 1.4 oz, so verify the physical label before packaging-mass work."
16,deodorant,Wild Aluminum-Free Deodorant Refill Juicy Mango 1.4 oz,Target,7.99,1.4,oz,1 refill,refill cartridge with paperboard sleeve,1,https://www.target.com/p/wild-cosmetics-natural-aluminum-free-deodorant-refill-juicy-mango-1-4oz/-/A-94882433,"Accessed 2026-07-17. Full-package one-time price; recurring purchase for the starter case."
17,shampoo_body_wash,The Honest Company Sensitive Shampoo + Body Wash Fragrance Free 18 fl oz,Target,16.99,18,fl_oz,1 pump bottle,PET pump bottle,0,https://www.target.com/p/the-honest-company-sensitive-shampoo-body-wash-fragrance-free-18-fl-oz/-/A-92909423,"Accessed 2026-07-17. Full-package one-time price."
17,shampoo_body_wash,The Honest Company Sensitive Shampoo + Body Wash Refill Fragrance Free 32 fl oz,Target,25.99,32,fl_oz,1.78 pump-bottle equivalents,FSC paperboard composite refill carton,1,https://www.target.com/p/the-honest-company-sensitive-shampoo-body-wash-refill-fragrance-free-32-fl-oz/-/A-94859342,"Accessed 2026-07-17. Full-package one-time price; same formula and 32/18 = 1.78 nominal fills. Brand states 89% less plastic than three 10-fl-oz bottles."
18,beverage,Sprite Lemon-Lime Soda 12 fl oz cans 12-pack,Target,8.89,12,fl_oz,12 servings,aluminum cans with paperboard carton,0,https://www.target.com/p/sprite-12pk-12-fl-oz-cans/-/A-12953469,"Accessed 2026-07-17. Full 12-pack price; net contents are per container."
18,beverage,Sprite Lemon-Lime Soda 20 fl oz single bottle,Target,2.69,20,fl_oz,1 serving,PET bottle with plastic cap and label,0,https://www.target.com/p/sprite-20-fl-oz-bottle/-/A-12953480,"Accessed 2026-07-17. Full single-bottle price; same formula family as can row."
19,beverage,S.Pellegrino Sparkling Natural Mineral Water 11.15 fl oz cans 8-pack,Target,7.99,11.15,fl_oz,8 servings,aluminum cans with paperboard tray or wrap,0,https://www.target.com/p/s-pellegrino-sparkling-natural-mineral-water-8pk-11-15-fl-oz-cans/-/A-53676226,"Accessed 2026-07-17. Full 8-pack price; net contents are per container."
19,beverage,S.Pellegrino Sparkling Natural Mineral Water 16.9 fl oz PET bottles 12-pack,Target,14.79,16.9,fl_oz,12 servings,PET bottles with caps and shrink wrap,0,https://www.target.com/p/san-pellegrino-sparkling-natural-mineral-water-12pk-16-9-fl-oz-bottles/-/A-14756366,"Accessed 2026-07-17. Full 12-pack price; same beverage but package count differs from can and glass rows, so normalize per ounce/container."
19,beverage,S.Pellegrino Sparkling Natural Mineral Water 16.9 fl oz glass bottles 8-pack,Target,13.19,16.9,fl_oz,8 servings,glass bottles with metal caps and carton,0,https://www.target.com/p/sanpellegrino-sparkling-water-8pk-16-9-fl-oz-glass-bottles/-/A-94759334,"Accessed 2026-07-17. Full 8-pack price; same beverage and container size as PET row but different pack count."
20,surface_cleaner,Windex Original Blue Window and Glass Cleaner Spray 26 fl oz,Target,3.99,26,fl_oz,1 spray bottle,PET trigger bottle,0,https://www.target.com/p/windex-original-blue-glass-cleaner-spray-26-fl-oz/-/A-53411349,"Accessed 2026-07-17. Full-package one-time price; repeated here to preserve the seed template's explicit spray-versus-tablet comparison."
20,surface_cleaner,BLUELAND Multi-Surface Cleaner 10 Refill Tablets Fresh Lemon,Amazon,24.00,24,fl_oz_per_tablet,10 x 24-fl-oz fills,dry tablets in retail refill pouch,1,https://www.amazon.com/BLUELAND-Multi-surface-Friendly-Products-Cleaning/dp/B09P1Y9RXV,"Accessed 2026-07-17. Price shown on Amazon listing/search result; each tablet makes 24 fl oz. Refill tablets do not include the reusable bottle, so use for recurring-use comparison and add/amortize a bottle for first-purchase analysis. Different brand and formula from Windex."
